recipe_id,cuisine_id
47770,41
49436,33
47776,29
47774,41
47774,33
47782,33
47788,41
47780,41
47796,41
47778,36
47778,58
47790,48
47792,41
47794,41
47786,41
47798,33
47806,41
47806,50
47800,41
47784,41
47804,23
47804,14
47802,23
47802,14
47812,41
47808,48
47814,41
48412,33
49180,41
47816,33
47832,41
47826,41
47838,41
48396,41
49852,33
47834,41
47830,41
47836,41
49478,41
47844,41
47846,41
47840,41
47842,41
47852,41
47848,23
47848,14
47856,41
47850,29
47862,41
47858,33
47860,29
47880,41
47876,41
47878,41
47864,33
47866,41
47874,41
47872,41
47872,36
47868,35
47870,48
47882,41
47884,41
47886,41
47896,41
47898,41
47892,23
47892,14
47904,41
47912,41
47902,41
47926,33
47924,41
47928,41
47932,23
47932,14
47910,41
47922,41
47916,41
48178,41
47938,41
47914,33
47934,41
47936,41
47942,33
47950,41
47950,16
47940,12
47946,43
47946,35
47946,5
47944,41
47944,16
47948,41
47952,41
47954,41
47954,33
47964,41
47968,41
47962,33
47960,48
47972,41
47970,33
47958,41
47980,33
47974,41
47976,41
47982,41
47994,33
47978,41
47990,41
47992,29
47986,29
47998,41
48000,41
48002,41
47996,41
48004,41
48014,41
48024,41
48020,41
48030,41
48022,38
48032,41
48034,41
48034,33
48028,41
48028,33
48026,29
48036,41
48038,33
48042,41
48040,41
48062,41
48060,41
48050,33
48078,41
48072,48
48052,41
48052,33
48054,41
48070,41
48046,41
48068,41
48064,41
48064,29
48082,23
48082,14
48080,41
48074,41
48076,36
48076,23
48632,41
48084,41
48086,23
48086,14
48092,33
48090,33
48096,41
48110,29
48102,41
48098,41
48104,23
48104,14
48106,33
48400,33
48114,41
48108,41
48100,41
48122,29
48120,33
48116,29
48118,41
48134,41
48128,41
48132,41
48130,41
48142,41
48140,41
48138,33
48150,48
48144,41
48158,41
48136,41
48152,41
48146,41
48148,29
48154,29
48156,36
48166,33
48162,41
48160,41
48164,41
48176,41
48170,41
48174,41
48180,41
48168,41
48186,41
48172,41
48184,41
48182,35
48188,41
48194,29
48192,41
48196,33
48190,41
48198,41
48208,29
48204,23
48204,14
48210,41
48206,41
48202,41
48212,41
48214,41
48218,41
48220,23
48220,14
48216,41
48216,16
48216,15
49318,33
48230,41
48222,41
48228,41
48234,41
48226,41
48232,41
48236,41
48244,41
48784,33
48248,29
48246,41
48242,41
48250,41
48250,38
48250,35
48240,41
48256,33
48254,33
48258,41
48252,41
48264,41
48278,41
48270,33
49364,41
48272,33
48268,41
48284,29
48280,41
48262,33
48274,41
48294,41
48292,33
48282,41
48286,41
48296,33
48310,41
48302,41
48298,41
48304,33
48314,41
48300,41
48308,29
