recipe_id,ingredient_id
50080,714
50080,3170
50080,2860
50080,3159
50080,2357
50080,2538
50080,1741
50080,685
113504,806
113504,3600
113504,685
111845,2038
111845,2331
111845,1117
111845,2821
111845,2357
111845,1030
111845,459
111845,685
111845,2299
111845,3331
111845,2217
111845,2348
111845,1992
111845,1832
111845,-1
111845,1620
111845,1862
111845,2860
111845,404
49712,3109
49712,1328
49712,3072
49712,3331
49712,1556
49712,1030
49712,1741
49712,685
49712,1252
49712,3239
49712,2002
110160,2294
110160,3331
110160,714
110160,1117
110160,1521
110160,2300
110160,2918
110160,2674
110160,914
110160,3036
110160,806
110160,1252
49822,2656
49822,3054
49822,3248
49822,3587
49822,2811
49822,3347
49822,3208
49822,228
49822,1521
49822,3380
49822,2016
49956,3208
49956,1177
49956,228
49956,1741
49956,819
49956,3479
49956,3234
49956,3054
49956,3587
49956,2356
49956,3347
49956,3395
49956,702
110727,1029
110727,1563
110727,941
110727,3364
110727,528
49716,449
49716,501
49716,3599
49716,2528
49716,2739
49716,3089
49716,29
111974,752
111974,3671
111974,3269
111974,3347
111974,1521
111974,819
111974,1324
111974,2274
112439,581
112439,752
112439,2542
112439,1246
112439,1521
112439,685
112439,3600
112439,2924
112481,328
112481,2953
112481,3519
112481,1933
112481,1521
112481,685
112481,3208
112481,2809
74946,3695
74946,1521
74946,2051
74946,1657
74946,320
74946,3233
74946,3331
74946,2394
74946,172
74946,1252
74946,3083
74946,83
74946,3587
74946,2331
74946,2024
74946,1969
74946,-1
74946,2131
74946,2077
74946,2953
74946,3083
74946,1206
74946,3040
49414,752
49414,-1
49414,3233
49414,714
49414,3061
49414,2964
49414,2934
49752,752
49752,1497
49752,3623
49752,819
49752,703
49752,2057
49752,1422
49752,1324
49752,2274
112272,3605
112272,3235
112272,3226
112272,714
112272,2299
112272,1521
112272,685
112272,1388
112272,2953
112272,3519
112272,1918
48328,1759
48328,2263
48328,3331
48328,714
48328,1117
48328,2440
48328,2388
48328,1886
48328,844
48328,3488
48328,1252
48328,3587
48328,3036
110986,2340
110986,2263
110986,3143
110986,819
110986,1154
110986,1760
110986,3040
110986,1523
111344,3159
111344,1190
111344,404
111344,2860
111344,2176
111344,1521
111344,1516
111344,714
111344,3331
111344,3170
111344,1733
111344,1191
111344,2747
111344,2054
111344,2624
111738,3605
111738,3331
111738,3376
111738,2953
111738,1252
111738,807
112119,1506
112119,3383
112119,3646
112119,2656
112119,1177
112119,1521
112119,214
112119,914
112119,1611
111201,707
111201,459
111201,685
111201,3022
111201,1154
111201,3479
111201,595
49760,2803
49760,1516
49760,1754
49760,3331
49760,1030
49760,2357
49760,1549
49760,2538
49760,1230
49760,1237
49760,-1
49760,2038
49760,2903
49760,2628
49760,83
49760,404
49760,533
111306,2566
111306,1472
111306,3331
111306,1030
111306,2538
111306,1521
111306,1231
111306,2232
111306,1832
111306,1557
111306,1620
111306,2548
111306,2249
111306,3416
111306,3420
49080,25
49080,3415
49080,24
49080,557
49080,1679
49080,-1
49080,2909
49080,806
49080,2388
49080,2581
49080,806
49080,3469
111051,2722
111051,3311
111051,792
111051,3002
111051,471
111051,3046
111051,1503
111051,1556
111051,3331
111051,2114
111051,3519
111051,1549
111051,519
109043,3491
109043,1177
109043,1521
109043,1158
109043,3641
109043,1240
109043,1012
109043,2666
111116,3081
111116,3116
111116,1013
111116,3677
111116,1521
111116,3640
110605,2263
110605,3200
110605,823
110605,2459
110605,1760
110605,3040
110605,3266
110605,1553
110605,3689
110605,412
110940,3452
110940,2802
110940,1206
110940,1177
110940,1855
110940,819
110940,1741
110940,2038
110940,3347
110940,1337
110940,744
110336,1754
110336,714
110336,2086
110336,1733
110336,1521
110336,768
49770,3483
49770,2803
49770,1521
110509,1886
110509,2263
110509,1521
110509,685
110509,2933
110509,2459
110509,236
110509,823
110509,463
110509,246
110509,2275
110509,2493
110509,412
110538,1029
110538,2263
110538,2551
110538,1372
110538,3600
110538,1521
110538,2803
110304,3569
110304,2837
110304,1754
110304,3331
110304,1503
110304,1556
110304,1030
110304,1117
110304,730
110304,2581
110304,1549
110304,2440
110304,1034
110304,1521
110304,685
110304,828
110304,2195
110304,3357
110304,673
110501,2803
110501,752
110501,1754
110501,2551
110501,3143
110501,2398
110501,1521
110039,2830
110039,3479
110039,1275
110039,1660
110039,3587
110039,2038
110039,3391
110039,3347
110039,3208
110039,3278
110039,228
110039,1741
110039,1177
110039,1574
109556,3395
109556,1521
109556,1177
109556,3278
109556,73
109556,3347
109556,914
109556,2619
109556,2038
109556,1337
109556,3016
109735,967
109735,2185
109735,1030
109735,2263
109735,1521
109735,3298
109735,963
108781,3491
108781,1177
108781,1521
108781,1158
108781,2548
108781,3181
108781,3600
108781,1050
108781,3338
108781,3641
108781,1012
49768,2038
49768,1940
49768,3234
49768,228
49768,1855
49768,703
49768,819
49768,1741
49768,2162
49768,3089
49768,3347
49768,3118
49768,3689
49738,520
49738,1883
49738,1948
49738,819
49738,703
49738,1741
49738,3364
49738,1733
49738,952
49738,1865
49738,2656
49738,1177
49738,228
49738,1741
49738,36
49738,3686
49738,3525
49738,1581
50062,1754
50062,2362
50062,506
50062,342
50062,3331
50062,714
50062,1886
50062,609
50062,426
50062,3040
50062,404
109367,2364
109367,1497
109367,819
109367,459
109367,3054
109367,1948
109367,2872
109367,2803
109367,3016
108534,2976
108534,1733
108534,1754
108534,1521
109206,1507
109206,1202
109206,1521
109206,776
109206,2551
109206,685
109206,3587
109206,3298
109206,384
109206,225
109206,1453
109206,3611
109206,621
109206,1106
49116,1340
49116,1940
49116,3289
49116,228
49116,1855
49116,819
49116,1741
49116,2038
49116,1889
49116,3089
49116,3347
49116,3118
49116,2730
49620,585
49620,3081
49620,3360
49620,2551
49620,1754
49620,3170
49620,1752
49620,2794
49620,1154
49620,714
49620,1117
49620,2628
49620,526
49620,3718
49620,3181
49620,881
49620,1050
49620,1521
49620,2803
108607,3118
108607,127
108607,1940
108607,1177
108607,228
108607,1741
108607,3248
108607,1581
108607,3587
108607,2356
108607,3347
48344,3219
48344,3235
48344,2331
48344,272
48344,219
48344,2964
48344,77
48344,3322
48344,24
109004,3395
109004,3452
109004,3722
109004,214
109004,819
109004,1838
109004,772
109004,3320
109004,871
108647,3509
108647,1521
108647,2551
108647,3116
108647,725
108647,3600
108647,2342
108647,3587
108647,2803
49776,1590
49776,3331
49776,1030
49776,1754
49776,1516
